binder_name,Average_binder_parental_RMSD
BCMA_l59_nonint_1746,0.7368
BCMA_l59_nonint_1359,0.5494
BCMA_l59_nonint_0311,0.7939999999999999
BCMA_l59_nonint_0577,0.7238
BCMA_l59_nonint_1560,0.6646
BCMA_l59_nonint_1465,0.7706000000000001
BCMA_l59_nonint_0381,0.6072
BCMA_l59_nonint_1033,0.6668000000000001
BCMA_l59_nonint_0096,0.7295999999999999
BCMA_l59_nonint_0436,0.6492000000000001
BCMA_l59_nonint_1519,0.5885999999999999
BCMA_l59_nonint_0443,0.853
BCMA_l59_nonint_1423,0.8892
BCMA_l59_nonint_1792,0.8123999999999999
BCMA_l59_nonint_1169,0.8537999999999999
BCMA_l59_nonint_1642,0.4713999999999999
BCMA_l59_nonint_0241,0.6073999999999999
BCMA_l59_nonint_0756,0.6718
BCMA_l59_nonint_0486,0.7051999999999999
BCMA_l59_nonint_0726,0.5791999999999999
BCMA_l59_nonint_1072,0.8832000000000001
BCMA_l59_nonint_1374,0.8182
BCMA_l59_nonint_1875,0.7460000000000001
BCMA_l59_nonint_0738,0.8552
BCMA_l59_nonint_0130,0.8288
BCMA_l59_nonint_0325,0.8123999999999999
BCMA_l59_nonint_0954,0.964
BCMA_l59_nonint_0905,0.8677999999999999
BCMA_l59_nonint_0283,0.8270000000000002
BCMA_l59_nonint_1554,0.8208
BCMA_l59_nonint_1301,0.7736000000000001
BCMA_l59_nonint_0512,0.4932
BCMA_l59_nonint_0448,0.7116
BCMA_l59_nonint_1070,0.7406
BCMA_l59_nonint_0774,0.7468
BCMA_l59_nonint_1565,0.7065999999999999
BCMA_l59_nonint_1321,0.7475999999999999
BCMA_l59_nonint_1009,0.7333999999999999
BCMA_l59_nonint_0229,0.7133999999999999
BCMA_l59_nonint_0353,0.7712000000000001
BCMA_l59_nonint_0299,0.974
BCMA_l59_nonint_0219,0.899
BCMA_l59_nonint_1067,0.8472000000000002
BCMA_l59_nonint_1181,0.7338
BCMA_l59_nonint_0840,0.5774
BCMA_l59_nonint_0432,0.764
BCMA_l59_nonint_0663,0.7068000000000001
BCMA_l59_nonint_1212,0.7847999999999999
BCMA_l59_nonint_0894,0.6380000000000001
BCMA_l59_nonint_0305,0.7205999999999999
BCMA_l59_nonint_0681,0.8266
BCMA_l59_nonint_1366,0.8712
BCMA_l59_nonint_1463,0.8674
BCMA_l59_nonint_0270,0.5836
BCMA_l59_nonint_0993,0.6629999999999999
BCMA_l59_nonint_0666,0.89
BCMA_l59_nonint_1254,0.6676
BCMA_l59_nonint_0024,0.624
BCMA_l59_nonint_0100,0.7904
BCMA_l59_nonint_0723,0.8006
BCMA_l59_nonint_1929,0.5834
BCMA_l59_nonint_1019,0.5878
BCMA_l59_nonint_1550,0.7342000000000001
BCMA_l59_nonint_0258,0.6742000000000001
BCMA_l59_nonint_1956,0.5922000000000001
BCMA_l59_nonint_0009,0.9426
BCMA_l59_nonint_1803,0.7928000000000001
BCMA_l59_nonint_0108,0.7502
BCMA_l59_nonint_1397,0.766
BCMA_l59_nonint_0863,0.9786
BCMA_l59_nonint_0567,0.9792
BCMA_l59_nonint_1327,0.5636
BCMA_l59_nonint_1145,0.6836
BCMA_l59_nonint_0904,0.912
BCMA_l59_nonint_0704,0.7916000000000001
BCMA_l59_nonint_0036,0.6134000000000001
BCMA_l59_nonint_1636,0.9342
BCMA_l59_nonint_0526,0.6128
BCMA_l59_nonint_0124,0.7666000000000001
BCMA_l59_nonint_0309,0.9458
BCMA_l59_nonint_1161,0.7095999999999999
BCMA_l59_nonint_0620,0.8032
BCMA_l59_nonint_0925,0.8855999999999998
BCMA_l59_nonint_0474,0.8976000000000001
BCMA_l59_nonint_1331,0.6315999999999999
BCMA_l59_nonint_1174,0.6878
BCMA_l59_nonint_1322,0.6685999999999999
BCMA_l59_nonint_0604,0.8916000000000001
BCMA_l59_nonint_0366,0.491
BCMA_l59_nonint_0355,0.717
BCMA_l59_nonint_0177,0.7876000000000001
BCMA_l59_nonint_1210,0.5850000000000001
BCMA_l59_nonint_0027,0.5984
BCMA_l59_nonint_0060,0.7230000000000001
BCMA_l59_nonint_0870,0.6624
BCMA_l59_nonint_1094,0.9326
BCMA_l59_nonint_1118,0.8764
BCMA_l59_nonint_1151,0.99
BCMA_l59_nonint_0794,0.8004
BCMA_l59_nonint_1334,0.6597999999999999
BCMA_l59_nonint_1716,0.7577999999999999
BCMA_l59_nonint_1152,0.6973999999999999
BCMA_l59_nonint_1504,0.7305999999999999
BCMA_l59_nonint_1481,0.5092000000000001
BCMA_l59_nonint_0562,0.8240000000000001
BCMA_l59_nonint_1657,0.9924
BCMA_l59_nonint_0011,0.6022000000000001
BCMA_l59_nonint_0105,0.8326
BCMA_l59_nonint_1951,0.8593999999999999
BCMA_l59_nonint_0466,0.983
BCMA_l59_nonint_1639,0.726
BCMA_l59_nonint_0075,0.7575999999999999
BCMA_l59_nonint_1021,0.6884
BCMA_l59_nonint_1073,0.7624000000000001
BCMA_l59_nonint_0070,0.8320000000000001
BCMA_l59_nonint_0170,0.5993999999999999
BCMA_l59_nonint_0111,0.6866
BCMA_l59_nonint_1769,0.6157999999999999
BCMA_l59_nonint_0529,0.9559999999999998
BCMA_l59_nonint_1694,0.7386
BCMA_l59_nonint_0957,0.9932
BCMA_l59_nonint_1613,0.7092
BCMA_l59_nonint_0822,0.5992
BCMA_l59_nonint_0727,0.6308
BCMA_l59_nonint_1110,0.4808
BCMA_l59_nonint_0667,0.6708
BCMA_l59_nonint_0110,0.7962
BCMA_l59_nonint_0722,0.571
BCMA_l59_nonint_1483,0.5256000000000001
BCMA_l59_nonint_0943,0.8267999999999999
BCMA_l59_nonint_1486,0.5601999999999999
BCMA_l59_nonint_1278,0.7714000000000001
BCMA_l59_nonint_0321,0.7447999999999999
BCMA_l59_nonint_1186,0.8280000000000001
BCMA_l59_nonint_0924,0.8231999999999999
BCMA_l59_nonint_1990,0.7306
BCMA_l59_nonint_1054,0.628
BCMA_l59_nonint_0035,0.6622
BCMA_l59_nonint_0461,0.8267999999999999
BCMA_l59_int_1977,0.7924000000000001
BCMA_l59_nonint_1867,0.8194000000000001
BCMA_l59_nonint_0825,0.9228
BCMA_l59_nonint_0504,0.4414
BCMA_l59_nonint_0505,0.7093999999999999
BCMA_l59_nonint_1358,0.9686
BCMA_l59_nonint_0860,0.6398
BCMA_l59_nonint_0653,0.7988
BCMA_l59_nonint_1572,0.9434
BCMA_l59_nonint_0166,0.8402
BCMA_l59_nonint_1416,0.8625999999999999
BCMA_l59_nonint_0423,0.5958
BCMA_l59_nonint_1304,0.7979999999999999
BCMA_l59_nonint_1961,0.7414
BCMA_l59_nonint_1323,0.8187999999999999
BCMA_l59_nonint_1302,0.6352
BCMA_l59_nonint_1038,0.6984
BCMA_l59_nonint_1272,0.8312000000000002
BCMA_l59_nonint_0113,0.9744
BCMA_l59_nonint_1354,0.7365999999999999
BCMA_l59_nonint_0120,0.5963999999999999
BCMA_l59_nonint_0310,0.7672000000000001
BCMA_l59_nonint_1660,0.7411999999999999
BCMA_l59_nonint_0313,0.78
BCMA_l59_nonint_1163,0.6974
BCMA_l59_nonint_1247,0.9976
BCMA_l59_nonint_0571,0.72
BCMA_l59_nonint_0394,0.7074
BCMA_l59_nonint_0543,0.6085999999999999
BCMA_l59_nonint_0589,0.6522
BCMA_l59_nonint_0852,0.9066
BCMA_l59_nonint_1249,0.6502
BCMA_l59_nonint_1273,0.9796
BCMA_l59_nonint_1633,0.701
BCMA_l59_nonint_1298,0.6628000000000001
BCMA_l59_int_0155,0.8333999999999999
BCMA_l59_nonint_0465,0.937
BCMA_l59_nonint_0965,0.635
BCMA_l59_nonint_0038,0.667
BCMA_l59_nonint_0357,0.5336000000000001
BCMA_l59_nonint_0473,0.692
BCMA_l59_nonint_0047,0.8452
BCMA_l59_nonint_0181,0.7288
