Original_ID,Allele,Strong Binder,Weak Binder,None,binder_type
CD19_l115_nonint_0547,HLA-A0101,1,3,103,de novo
CD19_l115_nonint_0547,HLA-A0201,2,2,103,de novo
CD19_l115_nonint_0547,HLA-A0202,3,1,103,de novo
CD19_l115_nonint_0547,HLA-A0203,2,4,101,de novo
CD19_l115_nonint_0547,HLA-A0205,0,4,103,de novo
CD19_l115_nonint_0547,HLA-A0206,2,3,102,de novo
CD19_l115_nonint_0547,HLA-A0207,1,0,106,de novo
CD19_l115_nonint_0547,HLA-A0211,2,8,97,de novo
CD19_l115_nonint_0547,HLA-A0212,3,4,100,de novo
CD19_l115_nonint_0547,HLA-A0216,2,6,99,de novo
CD19_l115_nonint_0547,HLA-A0217,1,1,105,de novo
CD19_l115_nonint_0547,HLA-A0219,1,6,100,de novo
CD19_l115_nonint_0547,HLA-A0250,4,6,97,de novo
CD19_l115_nonint_0547,HLA-A0301,1,2,104,de novo
CD19_l115_nonint_0547,HLA-A1101,1,2,104,de novo
CD19_l115_nonint_0547,HLA-A2301,0,2,105,de novo
CD19_l115_nonint_0547,HLA-A2402,0,3,104,de novo
CD19_l115_nonint_0547,HLA-A2403,0,5,102,de novo
CD19_l115_nonint_0547,HLA-A2501,1,8,98,de novo
CD19_l115_nonint_0547,HLA-A2601,1,3,103,de novo
CD19_l115_nonint_0547,HLA-A2602,1,8,98,de novo
CD19_l115_nonint_0547,HLA-A2603,1,5,101,de novo
CD19_l115_nonint_0547,HLA-A2902,0,1,106,de novo
CD19_l115_nonint_0547,HLA-A3001,2,2,103,de novo
CD19_l115_nonint_0547,HLA-A3002,0,1,106,de novo
CD19_l115_nonint_0547,HLA-A3101,0,1,106,de novo
CD19_l115_nonint_0547,HLA-A3201,0,3,104,de novo
CD19_l115_nonint_0547,HLA-A3207,1,5,101,de novo
CD19_l115_nonint_0547,HLA-A3215,0,2,105,de novo
CD19_l115_nonint_0547,HLA-A3301,0,0,107,de novo
CD19_l115_nonint_0547,HLA-A6601,4,3,100,de novo
CD19_l115_nonint_0547,HLA-A6801,0,3,104,de novo
CD19_l115_nonint_0547,HLA-A6802,1,2,104,de novo
CD19_l115_nonint_0547,HLA-A6823,0,4,103,de novo
